"paper","number_of_dc_methods","year"
"http://orkg.org/orkg/resource/R280738",1,2009
"http://orkg.org/orkg/resource/R285771",1,2008
"http://orkg.org/orkg/resource/R287873",1,2008
"http://orkg.org/orkg/resource/R288476",1,2007
"http://orkg.org/orkg/resource/R288801",1,2007
"http://orkg.org/orkg/resource/R369142",1,2007
"http://orkg.org/orkg/resource/R597889",1,2001
"http://orkg.org/orkg/resource/R598223",1,2001
"http://orkg.org/orkg/resource/R605881",1,1998
"http://orkg.org/orkg/resource/R606309",1,1999
"http://orkg.org/orkg/resource/R609340",1,1997
"http://orkg.org/orkg/resource/R680028",1,1995
"http://orkg.org/orkg/resource/R684242",2,1995
"http://orkg.org/orkg/resource/R193920",3,2020
"http://orkg.org/orkg/resource/R193925",1,2020
"http://orkg.org/orkg/resource/R193929",1,2020
"http://orkg.org/orkg/resource/R194084",1,2020
"http://orkg.org/orkg/resource/R194125",3,2020
"http://orkg.org/orkg/resource/R194281",1,2019
"http://orkg.org/orkg/resource/R194373",1,2019
"http://orkg.org/orkg/resource/R194431",1,2019
"http://orkg.org/orkg/resource/R194445",1,2019
"http://orkg.org/orkg/resource/R194458",1,2019
"http://orkg.org/orkg/resource/R194698",2,2018
"http://orkg.org/orkg/resource/R195113",2,2018
"http://orkg.org/orkg/resource/R195129",2,2018
"http://orkg.org/orkg/resource/R195144",3,2018
"http://orkg.org/orkg/resource/R195153",5,2018
"http://orkg.org/orkg/resource/R195669",1,2017
"http://orkg.org/orkg/resource/R198797",1,2016
"http://orkg.org/orkg/resource/R198877",3,2016
"http://orkg.org/orkg/resource/R108199",2,2017
"http://orkg.org/orkg/resource/R78392",2,2015
"http://orkg.org/orkg/resource/R578035",1,2006
"http://orkg.org/orkg/resource/R578050",1,2005
"http://orkg.org/orkg/resource/R583034",2,2005
"http://orkg.org/orkg/resource/R583209",1,2004
"http://orkg.org/orkg/resource/R583860",1,2004
"http://orkg.org/orkg/resource/R583872",1,2004
"http://orkg.org/orkg/resource/R584036",1,2004
"http://orkg.org/orkg/resource/R584073",1,2003
"http://orkg.org/orkg/resource/R586470",1,2003
"http://orkg.org/orkg/resource/R587118",1,2002
"http://orkg.org/orkg/resource/R587127",1,2002
"http://orkg.org/orkg/resource/R589038",1,2002
"http://orkg.org/orkg/resource/R221821",4,2012
"http://orkg.org/orkg/resource/R222366",1,2012
"http://orkg.org/orkg/resource/R227501",1,2022
"http://orkg.org/orkg/resource/R229316",2,2022
"http://orkg.org/orkg/resource/R279086",2,2010
"http://orkg.org/orkg/resource/R280347",2,2010
"http://orkg.org/orkg/resource/R280498",2,2010
"http://orkg.org/orkg/resource/R280754",1,2009
"http://orkg.org/orkg/resource/R280818",1,2009
"http://orkg.org/orkg/resource/R283077",1,2009
"http://orkg.org/orkg/resource/R287812",2,2008
"http://orkg.org/orkg/resource/R287836",1,2008
"http://orkg.org/orkg/resource/R605419",1,1998
"http://orkg.org/orkg/resource/R605866",2,1998
"http://orkg.org/orkg/resource/R606061",3,1998
"http://orkg.org/orkg/resource/R606839",1,1999
"http://orkg.org/orkg/resource/R606868",2,1999
"http://orkg.org/orkg/resource/R606978",4,1999
"http://orkg.org/orkg/resource/R644694",1,1997
"http://orkg.org/orkg/resource/R661896",1,1997
"http://orkg.org/orkg/resource/R675363",1,1996
"http://orkg.org/orkg/resource/R680058",2,1995
"http://orkg.org/orkg/resource/R193295",1,2021
"http://orkg.org/orkg/resource/R193308",3,2021
"http://orkg.org/orkg/resource/R194345",1,2019
"http://orkg.org/orkg/resource/R194610",1,2019
"http://orkg.org/orkg/resource/R195713",1,2017
"http://orkg.org/orkg/resource/R195806",2,2017
"http://orkg.org/orkg/resource/R198964",3,2016
"http://orkg.org/orkg/resource/R199014",1,2015
"http://orkg.org/orkg/resource/R199123",1,2015
"http://orkg.org/orkg/resource/R199158",2,2015
"http://orkg.org/orkg/resource/R200098",1,2015
"http://orkg.org/orkg/resource/R211121",3,2014
"http://orkg.org/orkg/resource/R211145",1,2014
"http://orkg.org/orkg/resource/R211294",1,2014
"http://orkg.org/orkg/resource/R211428",1,2014
"http://orkg.org/orkg/resource/R220371",1,2013
"http://orkg.org/orkg/resource/R554468",1,2007
"http://orkg.org/orkg/resource/R554861",1,2007
"http://orkg.org/orkg/resource/R158044",1,2006
"http://orkg.org/orkg/resource/R580060",1,2005
"http://orkg.org/orkg/resource/R580077",2,2005
"http://orkg.org/orkg/resource/R583952",1,2004
"http://orkg.org/orkg/resource/R586458",2,2003
"http://orkg.org/orkg/resource/R587084",1,2003
"http://orkg.org/orkg/resource/R588512",1,2002
"http://orkg.org/orkg/resource/R221156",1,2012
"http://orkg.org/orkg/resource/R222375",1,2012
"http://orkg.org/orkg/resource/R227465",1,2022
"http://orkg.org/orkg/resource/R227514",2,2022
"http://orkg.org/orkg/resource/R280486",1,2010
"http://orkg.org/orkg/resource/R280811",1,2009
"http://orkg.org/orkg/resource/R287851",1,2008
"http://orkg.org/orkg/resource/R369238",1,2007
"http://orkg.org/orkg/resource/R369685",3,2007
"http://orkg.org/orkg/resource/R596003",1,2001
"http://orkg.org/orkg/resource/R602865",1,1998
"http://orkg.org/orkg/resource/R603600",4,1998
"http://orkg.org/orkg/resource/R659470",1,1997
"http://orkg.org/orkg/resource/R660083",2,1997
"http://orkg.org/orkg/resource/R671037",3,1996
"http://orkg.org/orkg/resource/R678968",1,1995
"http://orkg.org/orkg/resource/R680008",3,1995
"http://orkg.org/orkg/resource/R684194",1,1995
"http://orkg.org/orkg/resource/R192386",1,2021
"http://orkg.org/orkg/resource/R193022",2,2021
"http://orkg.org/orkg/resource/R193406",4,2020
"http://orkg.org/orkg/resource/R193473",1,2020
"http://orkg.org/orkg/resource/R194641",2,2020
"http://orkg.org/orkg/resource/R194922",2,2018
"http://orkg.org/orkg/resource/R195005",2,2018
"http://orkg.org/orkg/resource/R195179",1,2018
"http://orkg.org/orkg/resource/R195495",1,2017
"http://orkg.org/orkg/resource/R195849",3,2017
"http://orkg.org/orkg/resource/R196021",3,2017
"http://orkg.org/orkg/resource/R196033",2,2017
"http://orkg.org/orkg/resource/R198689",4,2016
"http://orkg.org/orkg/resource/R199149",2,2015
"http://orkg.org/orkg/resource/R200045",1,2015
"http://orkg.org/orkg/resource/R211485",5,2014
"http://orkg.org/orkg/resource/R113160",1,2018
"http://orkg.org/orkg/resource/R113204",1,2018
"http://orkg.org/orkg/resource/R576776",1,2006
"http://orkg.org/orkg/resource/R576793",1,2006
"http://orkg.org/orkg/resource/R578027",1,2006
"http://orkg.org/orkg/resource/R583912",1,2004
"http://orkg.org/orkg/resource/R584065",1,2003
"http://orkg.org/orkg/resource/R220605",1,2013
"http://orkg.org/orkg/resource/R220618",1,2013
"http://orkg.org/orkg/resource/R220810",1,2013
"http://orkg.org/orkg/resource/R220898",1,2012
"http://orkg.org/orkg/resource/R221163",1,2012
"http://orkg.org/orkg/resource/R279116",2,2010
"http://orkg.org/orkg/resource/R280481",2,2010
"http://orkg.org/orkg/resource/R283080",2,2009
"http://orkg.org/orkg/resource/R598274",1,2000
"http://orkg.org/orkg/resource/R598586",1,2000
"http://orkg.org/orkg/resource/R598606",1,2000
"http://orkg.org/orkg/resource/R605077",1,1998
"http://orkg.org/orkg/resource/R607051",1,1999
"http://orkg.org/orkg/resource/R675312",2,1996
"http://orkg.org/orkg/resource/R675399",1,1996
"http://orkg.org/orkg/resource/R684186",1,1995
"http://orkg.org/orkg/resource/R159690",2,2011
"http://orkg.org/orkg/resource/R192428",1,2021
"http://orkg.org/orkg/resource/R193418",1,2020
"http://orkg.org/orkg/resource/R193490",2,2020
"http://orkg.org/orkg/resource/R194253",1,2019
"http://orkg.org/orkg/resource/R195728",2,2017
"http://orkg.org/orkg/resource/R195749",2,2017
"http://orkg.org/orkg/resource/R195857",2,2017
"http://orkg.org/orkg/resource/R197609",5,2017
"http://orkg.org/orkg/resource/R198808",1,2016
"http://orkg.org/orkg/resource/R200119",3,2015
"http://orkg.org/orkg/resource/R211198",2,2014
"http://orkg.org/orkg/resource/R211283",1,2014
"http://orkg.org/orkg/resource/R211327",1,2014
"http://orkg.org/orkg/resource/R211438",3,2014
"http://orkg.org/orkg/resource/R220378",1,2013
"http://orkg.org/orkg/resource/R558201",3,2006
"http://orkg.org/orkg/resource/R578020",1,2006
"http://orkg.org/orkg/resource/R580068",1,2005
"http://orkg.org/orkg/resource/R583074",1,2005
"http://orkg.org/orkg/resource/R583119",1,2005
"http://orkg.org/orkg/resource/R583135",1,2005
"http://orkg.org/orkg/resource/R583188",1,2004
"http://orkg.org/orkg/resource/R583866",1,2004
"http://orkg.org/orkg/resource/R583903",3,2004
"http://orkg.org/orkg/resource/R583920",1,2004
"http://orkg.org/orkg/resource/R584020",1,2004
"http://orkg.org/orkg/resource/R584044",1,2004
"http://orkg.org/orkg/resource/R220643",1,2013
"http://orkg.org/orkg/resource/R221147",1,2012
"http://orkg.org/orkg/resource/R228211",1,2022
"http://orkg.org/orkg/resource/R229273",3,2022
"http://orkg.org/orkg/resource/R254508",5,2011
"http://orkg.org/orkg/resource/R276015",1,2011
"http://orkg.org/orkg/resource/R276031",2,2011
"http://orkg.org/orkg/resource/R280335",3,2010
"http://orkg.org/orkg/resource/R280375",2,2010
"http://orkg.org/orkg/resource/R281166",1,2009
"http://orkg.org/orkg/resource/R288485",2,2007
"http://orkg.org/orkg/resource/R600479",1,1998
"http://orkg.org/orkg/resource/R606928",1,1999
"http://orkg.org/orkg/resource/R659290",1,1997
"http://orkg.org/orkg/resource/R660217",1,1997
"http://orkg.org/orkg/resource/R193025",1,2021
"http://orkg.org/orkg/resource/R193089",2,2021
"http://orkg.org/orkg/resource/R193385",2,2020
"http://orkg.org/orkg/resource/R194093",1,2020
"http://orkg.org/orkg/resource/R194114",2,2020
"http://orkg.org/orkg/resource/R194360",1,2019
"http://orkg.org/orkg/resource/R194414",1,2019
"http://orkg.org/orkg/resource/R194474",1,2019
"http://orkg.org/orkg/resource/R194895",1,2019
"http://orkg.org/orkg/resource/R195597",1,2017
"http://orkg.org/orkg/resource/R195866",2,2017
"http://orkg.org/orkg/resource/R196065",1,2017
"http://orkg.org/orkg/resource/R198944",2,2016
"http://orkg.org/orkg/resource/R199028",1,2015
"http://orkg.org/orkg/resource/R200049",2,2015
"http://orkg.org/orkg/resource/R200106",1,2015
"http://orkg.org/orkg/resource/R211361",3,2014
"http://orkg.org/orkg/resource/R211394",2,2014
"http://orkg.org/orkg/resource/R211404",1,2014
"http://orkg.org/orkg/resource/R211474",1,2014
"http://orkg.org/orkg/resource/R112434",1,2017
"http://orkg.org/orkg/resource/R113008",2,2017
"http://orkg.org/orkg/resource/R76792",1,2017
"http://orkg.org/orkg/resource/R576802",1,2006
"http://orkg.org/orkg/resource/R583056",1,2005
"http://orkg.org/orkg/resource/R583090",1,2005
"http://orkg.org/orkg/resource/R583127",1,2005
"http://orkg.org/orkg/resource/R583172",4,2004
"http://orkg.org/orkg/resource/R583886",1,2004
"http://orkg.org/orkg/resource/R583895",2,2004
"http://orkg.org/orkg/resource/R584085",1,2003
"http://orkg.org/orkg/resource/R588487",1,2002
"http://orkg.org/orkg/resource/R589022",1,2002
"http://orkg.org/orkg/resource/R589029",4,2002
"http://orkg.org/orkg/resource/R229375",1,2022
"http://orkg.org/orkg/resource/R264011",1,2011
"http://orkg.org/orkg/resource/R265006",1,2011
"http://orkg.org/orkg/resource/R276051",1,2011
"http://orkg.org/orkg/resource/R279126",1,2010
"http://orkg.org/orkg/resource/R280412",1,2010
"http://orkg.org/orkg/resource/R280747",1,2009
"http://orkg.org/orkg/resource/R285776",1,2008
"http://orkg.org/orkg/resource/R285781",2,2008
"http://orkg.org/orkg/resource/R288494",2,2007
"http://orkg.org/orkg/resource/R288766",1,2007
"http://orkg.org/orkg/resource/R369339",4,2007
"http://orkg.org/orkg/resource/R598496",1,2000
"http://orkg.org/orkg/resource/R598614",1,2000
"http://orkg.org/orkg/resource/R603577",1,1998
"http://orkg.org/orkg/resource/R603589",2,1998
"http://orkg.org/orkg/resource/R607060",1,1999
"http://orkg.org/orkg/resource/R678146",1,1996
"http://orkg.org/orkg/resource/R192345",1,2021
"http://orkg.org/orkg/resource/R192398",3,2021
"http://orkg.org/orkg/resource/R193070",1,2021
"http://orkg.org/orkg/resource/R194884",1,2019
"http://orkg.org/orkg/resource/R195224",3,2018
"http://orkg.org/orkg/resource/R195519",1,2017
"http://orkg.org/orkg/resource/R196009",2,2017
"http://orkg.org/orkg/resource/R196014",1,2017
"http://orkg.org/orkg/resource/R198663",1,2016
"http://orkg.org/orkg/resource/R198856",1,2016
"http://orkg.org/orkg/resource/R198979",1,2016
"http://orkg.org/orkg/resource/R198994",2,2016
"http://orkg.org/orkg/resource/R199005",2,2015
"http://orkg.org/orkg/resource/R199113",1,2015
"http://orkg.org/orkg/resource/R211154",1,2014
"http://orkg.org/orkg/resource/R211302",2,2014
"http://orkg.org/orkg/resource/R211380",2,2014
"http://orkg.org/orkg/resource/R554460",1,2007
"http://orkg.org/orkg/resource/R555217",1,2007
"http://orkg.org/orkg/resource/R556637",1,2006
"http://orkg.org/orkg/resource/R557163",3,2006
"http://orkg.org/orkg/resource/R111988",2,2016
"http://orkg.org/orkg/resource/R78432",2,2016
"http://orkg.org/orkg/resource/R583098",1,2005
"http://orkg.org/orkg/resource/R584012",1,2004
"http://orkg.org/orkg/resource/R584052",1,2002
"http://orkg.org/orkg/resource/R584056",4,2003
"http://orkg.org/orkg/resource/R586512",1,2003
"http://orkg.org/orkg/resource/R586519",5,2003
"http://orkg.org/orkg/resource/R588523",1,2002
"http://orkg.org/orkg/resource/R589047",1,2002
"http://orkg.org/orkg/resource/R220633",3,2013
"http://orkg.org/orkg/resource/R220845",2,2012
"http://orkg.org/orkg/resource/R220874",1,2012
"http://orkg.org/orkg/resource/R221183",1,2012
"http://orkg.org/orkg/resource/R221801",5,2012
"http://orkg.org/orkg/resource/R225589",1,2012
"http://orkg.org/orkg/resource/R256580",2,2011
"http://orkg.org/orkg/resource/R280521",1,2010
"http://orkg.org/orkg/resource/R280529",1,2010
"http://orkg.org/orkg/resource/R280798",2,2009
"http://orkg.org/orkg/resource/R285790",4,2008
"http://orkg.org/orkg/resource/R285808",1,2008
"http://orkg.org/orkg/resource/R287825",2,2008
"http://orkg.org/orkg/resource/R288432",1,2008
"http://orkg.org/orkg/resource/R288460",1,2007
"http://orkg.org/orkg/resource/R288507",1,2007
"http://orkg.org/orkg/resource/R369483",1,2007
"http://orkg.org/orkg/resource/R596015",3,2001
"http://orkg.org/orkg/resource/R596045",1,2001
"http://orkg.org/orkg/resource/R597910",1,2001
"http://orkg.org/orkg/resource/R598694",1,2000
"http://orkg.org/orkg/resource/R606247",1,1998
"http://orkg.org/orkg/resource/R606260",1,1999
"http://orkg.org/orkg/resource/R606302",1,1999
"http://orkg.org/orkg/resource/R606919",1,1999
"http://orkg.org/orkg/resource/R684287",3,1995
"http://orkg.org/orkg/resource/R193341",1,2021
"http://orkg.org/orkg/resource/R193357",1,2021
"http://orkg.org/orkg/resource/R193798",1,2021
"http://orkg.org/orkg/resource/R194054",3,2020
"http://orkg.org/orkg/resource/R194428",1,2019
"http://orkg.org/orkg/resource/R194974",2,2018
"http://orkg.org/orkg/resource/R195124",1,2018
"http://orkg.org/orkg/resource/R195201",3,2018
"http://orkg.org/orkg/resource/R195998",2,2017
"http://orkg.org/orkg/resource/R196046",2,2017
"http://orkg.org/orkg/resource/R198706",1,2016
"http://orkg.org/orkg/resource/R200042",2,2015
"http://orkg.org/orkg/resource/R211370",2,2014
"http://orkg.org/orkg/resource/R211452",2,2014
"http://orkg.org/orkg/resource/R220303",1,2013
"http://orkg.org/orkg/resource/R220343",1,2013
"http://orkg.org/orkg/resource/R555710",1,2007
"http://orkg.org/orkg/resource/R576739",1,2006
"http://orkg.org/orkg/resource/R576765",1,2006
"http://orkg.org/orkg/resource/R580133",1,2005
"http://orkg.org/orkg/resource/R584028",1,2004
"http://orkg.org/orkg/resource/R584097",1,2003
"http://orkg.org/orkg/resource/R584109",2,2003
"http://orkg.org/orkg/resource/R586445",1,2003
"http://orkg.org/orkg/resource/R587101",1,2003
"http://orkg.org/orkg/resource/R588540",2,2002
"http://orkg.org/orkg/resource/R220838",1,2012
"http://orkg.org/orkg/resource/R220858",1,2012
"http://orkg.org/orkg/resource/R221187",1,2012
"http://orkg.org/orkg/resource/R227482",3,2022
"http://orkg.org/orkg/resource/R249021",1,2011
"http://orkg.org/orkg/resource/R263000",1,2011
"http://orkg.org/orkg/resource/R279141",3,2010
"http://orkg.org/orkg/resource/R279151",2,2010
"http://orkg.org/orkg/resource/R280511",3,2010
"http://orkg.org/orkg/resource/R288513",1,2007
"http://orkg.org/orkg/resource/R288783",1,2007
"http://orkg.org/orkg/resource/R598067",1,2001
"http://orkg.org/orkg/resource/R602883",1,1998
"http://orkg.org/orkg/resource/R606569",1,1999
"http://orkg.org/orkg/resource/R606860",1,1999
"http://orkg.org/orkg/resource/R644458",1,1997
"http://orkg.org/orkg/resource/R659413",1,1997
"http://orkg.org/orkg/resource/R661887",1,1997
"http://orkg.org/orkg/resource/R684203",2,1995
"http://orkg.org/orkg/resource/R684258",2,1995
"http://orkg.org/orkg/resource/R193481",1,2020
"http://orkg.org/orkg/resource/R193866",1,2021
"http://orkg.org/orkg/resource/R194954",4,2018
"http://orkg.org/orkg/resource/R195982",1,2017
"http://orkg.org/orkg/resource/R195986",1,2017
"http://orkg.org/orkg/resource/R198681",3,2016
"http://orkg.org/orkg/resource/R198724",1,2016
"http://orkg.org/orkg/resource/R198795",1,2016
"http://orkg.org/orkg/resource/R198833",1,2016
"http://orkg.org/orkg/resource/R199162",1,2015
"http://orkg.org/orkg/resource/R200061",2,2015
"http://orkg.org/orkg/resource/R211351",1,2014
"http://orkg.org/orkg/resource/R211411",3,2014
"http://orkg.org/orkg/resource/R211459",1,2014
"http://orkg.org/orkg/resource/R220390",2,2013
"http://orkg.org/orkg/resource/R580127",1,2005
"http://orkg.org/orkg/resource/R583880",1,2004
"http://orkg.org/orkg/resource/R220611",1,2013
"http://orkg.org/orkg/resource/R221137",1,2012
"http://orkg.org/orkg/resource/R221169",1,2012
"http://orkg.org/orkg/resource/R225574",1,2012
"http://orkg.org/orkg/resource/R227533",1,2022
"http://orkg.org/orkg/resource/R254495",3,2011
"http://orkg.org/orkg/resource/R279109",1,2010
"http://orkg.org/orkg/resource/R280758",1,2009
"http://orkg.org/orkg/resource/R281188",1,2009
"http://orkg.org/orkg/resource/R281210",1,2009
"http://orkg.org/orkg/resource/R283069",1,2009
"http://orkg.org/orkg/resource/R288443",1,2008
"http://orkg.org/orkg/resource/R596028",1,2001
"http://orkg.org/orkg/resource/R596037",1,2001
"http://orkg.org/orkg/resource/R597081",1,2001
"http://orkg.org/orkg/resource/R597186",1,2001
"http://orkg.org/orkg/resource/R597386",1,2001
"http://orkg.org/orkg/resource/R597400",2,2001
"http://orkg.org/orkg/resource/R597880",1,2001
"http://orkg.org/orkg/resource/R598284",1,2000
"http://orkg.org/orkg/resource/R598506",1,2000
"http://orkg.org/orkg/resource/R598598",1,2000
"http://orkg.org/orkg/resource/R598631",1,2000
"http://orkg.org/orkg/resource/R606148",1,1998
"http://orkg.org/orkg/resource/R644601",1,1997
"http://orkg.org/orkg/resource/R647097",1,1997
"http://orkg.org/orkg/resource/R671056",2,1996
"http://orkg.org/orkg/resource/R684218",3,1995
"http://orkg.org/orkg/resource/R192445",1,2021
"http://orkg.org/orkg/resource/R193035",3,2021
"http://orkg.org/orkg/resource/R193828",1,2021
"http://orkg.org/orkg/resource/R193898",1,2020
"http://orkg.org/orkg/resource/R194237",2,2019
"http://orkg.org/orkg/resource/R194317",1,2019
"http://orkg.org/orkg/resource/R194932",1,2018
"http://orkg.org/orkg/resource/R195023",1,2018
"http://orkg.org/orkg/resource/R195551",4,2017
"http://orkg.org/orkg/resource/R198673",1,2016
"http://orkg.org/orkg/resource/R199023",1,2015
"http://orkg.org/orkg/resource/R211106",5,2014
"http://orkg.org/orkg/resource/R211177",1,2014
"http://orkg.org/orkg/resource/R211494",1,2014
"http://orkg.org/orkg/resource/R220383",1,2013
"http://orkg.org/orkg/resource/R558790",1,2006
"http://orkg.org/orkg/resource/R76818",1,2018
"http://orkg.org/orkg/resource/R580141",4,2005
"http://orkg.org/orkg/resource/R580149",1,2005
"http://orkg.org/orkg/resource/R583022",3,2005
"http://orkg.org/orkg/resource/R583048",1,2005
"http://orkg.org/orkg/resource/R583066",1,2005
"http://orkg.org/orkg/resource/R583082",1,2005
"http://orkg.org/orkg/resource/R583147",1,2005
"http://orkg.org/orkg/resource/R583153",8,2005
"http://orkg.org/orkg/resource/R583166",1,2004
"http://orkg.org/orkg/resource/R583218",3,2004
"http://orkg.org/orkg/resource/R584117",2,2003
"http://orkg.org/orkg/resource/R586489",3,2003
"http://orkg.org/orkg/resource/R586527",1,2003
"http://orkg.org/orkg/resource/R587093",2,2003
"http://orkg.org/orkg/resource/R587110",2,2003
"http://orkg.org/orkg/resource/R587153",1,2002
"http://orkg.org/orkg/resource/R588498",1,2002
"http://orkg.org/orkg/resource/R588557",1,2002
"http://orkg.org/orkg/resource/R588979",3,2002
"http://orkg.org/orkg/resource/R220624",1,2013
"http://orkg.org/orkg/resource/R220831",1,2012
"http://orkg.org/orkg/resource/R221176",1,2012
"http://orkg.org/orkg/resource/R221838",1,2012
"http://orkg.org/orkg/resource/R227551",2,2022
"http://orkg.org/orkg/resource/R228262",1,2022
"http://orkg.org/orkg/resource/R249016",1,2011
"http://orkg.org/orkg/resource/R276000",1,2011
"http://orkg.org/orkg/resource/R279136",1,2010
"http://orkg.org/orkg/resource/R281162",1,2009
"http://orkg.org/orkg/resource/R281194",2,2009
"http://orkg.org/orkg/resource/R283098",1,2008
"http://orkg.org/orkg/resource/R283106",1,2008
"http://orkg.org/orkg/resource/R285816",2,2008
"http://orkg.org/orkg/resource/R287863",3,2008
"http://orkg.org/orkg/resource/R288453",1,2008
"http://orkg.org/orkg/resource/R369602",1,2007
"http://orkg.org/orkg/resource/R597176",1,2001
"http://orkg.org/orkg/resource/R597409",1,2001
"http://orkg.org/orkg/resource/R598230",3,2001
"http://orkg.org/orkg/resource/R678216",2,1996
"http://orkg.org/orkg/resource/R193108",1,2021
"http://orkg.org/orkg/resource/R193330",1,2021
"http://orkg.org/orkg/resource/R193467",3,2020
"http://orkg.org/orkg/resource/R193849",3,2021
"http://orkg.org/orkg/resource/R194401",1,2019
"http://orkg.org/orkg/resource/R194607",1,2019
"http://orkg.org/orkg/resource/R194686",2,2018
"http://orkg.org/orkg/resource/R195182",1,2018
"http://orkg.org/orkg/resource/R195578",3,2017
"http://orkg.org/orkg/resource/R195587",3,2017
"http://orkg.org/orkg/resource/R195679",3,2017
"http://orkg.org/orkg/resource/R195767",1,2017
"http://orkg.org/orkg/resource/R195789",2,2017
"http://orkg.org/orkg/resource/R196070",7,2017
"http://orkg.org/orkg/resource/R198972",2,2016
"http://orkg.org/orkg/resource/R199136",1,2015
"http://orkg.org/orkg/resource/R211502",3,2014
"http://orkg.org/orkg/resource/R220323",3,2013
"http://orkg.org/orkg/resource/R554452",2,2007
"http://orkg.org/orkg/resource/R576757",1,2006
"http://orkg.org/orkg/resource/R113067",1,2017
"http://orkg.org/orkg/resource/R74547",1,2016
"http://orkg.org/orkg/resource/R580100",1,2005
"http://orkg.org/orkg/resource/R580108",3,2005
"http://orkg.org/orkg/resource/R580119",1,2005
"http://orkg.org/orkg/resource/R583013",1,2005
"http://orkg.org/orkg/resource/R583935",1,2004
"http://orkg.org/orkg/resource/R588573",1,2002
"http://orkg.org/orkg/resource/R589002",4,2002
"http://orkg.org/orkg/resource/R220538",5,2013
"http://orkg.org/orkg/resource/R220798",3,2013
"http://orkg.org/orkg/resource/R225580",1,2012
"http://orkg.org/orkg/resource/R228189",2,2022
"http://orkg.org/orkg/resource/R228229",2,2022
"http://orkg.org/orkg/resource/R249030",1,2011
"http://orkg.org/orkg/resource/R254521",2,2011
"http://orkg.org/orkg/resource/R280765",4,2009
"http://orkg.org/orkg/resource/R280793",1,2009
"http://orkg.org/orkg/resource/R281172",2,2009
"http://orkg.org/orkg/resource/R287845",1,2008
"http://orkg.org/orkg/resource/R288742",4,2007
"http://orkg.org/orkg/resource/R288764",1,2007
"http://orkg.org/orkg/resource/R288808",1,2007
"http://orkg.org/orkg/resource/R601221",1,1998
"http://orkg.org/orkg/resource/R606293",1,1999
"http://orkg.org/orkg/resource/R606576",1,1999
"http://orkg.org/orkg/resource/R661908",1,1996
"http://orkg.org/orkg/resource/R678227",1,1996
"http://orkg.org/orkg/resource/R680038",1,1995
"http://orkg.org/orkg/resource/R680050",1,1995
"http://orkg.org/orkg/resource/R193044",1,2021
"http://orkg.org/orkg/resource/R193336",1,2021
"http://orkg.org/orkg/resource/R193371",2,2020
"http://orkg.org/orkg/resource/R193441",1,2020
"http://orkg.org/orkg/resource/R193818",2,2021
"http://orkg.org/orkg/resource/R194139",3,2020
"http://orkg.org/orkg/resource/R195218",1,2018
"http://orkg.org/orkg/resource/R195692",1,2017
"http://orkg.org/orkg/resource/R198917",2,2016
"http://orkg.org/orkg/resource/R199039",1,2015
"http://orkg.org/orkg/resource/R211096",2,2014
"http://orkg.org/orkg/resource/R211188",1,2014
"http://orkg.org/orkg/resource/R211336",1,2014
"http://orkg.org/orkg/resource/R211467",2,2014
"http://orkg.org/orkg/resource/R220314",1,2013
"http://orkg.org/orkg/resource/R220354",1,2013
"http://orkg.org/orkg/resource/R220364",1,2013
"http://orkg.org/orkg/resource/R556363",1,2006
"http://orkg.org/orkg/resource/R578059",7,2005
"http://orkg.org/orkg/resource/R580049",1,2005
"http://orkg.org/orkg/resource/R580091",6,2005
"http://orkg.org/orkg/resource/R583105",1,2005
"http://orkg.org/orkg/resource/R583928",4,2004
"http://orkg.org/orkg/resource/R587141",1,2002
"http://orkg.org/orkg/resource/R589009",1,2002
"http://orkg.org/orkg/resource/R220583",1,2013
"http://orkg.org/orkg/resource/R220629",1,2013
"http://orkg.org/orkg/resource/R220881",3,2012
"http://orkg.org/orkg/resource/R229340",2,2022
"http://orkg.org/orkg/resource/R265019",2,2011
"http://orkg.org/orkg/resource/R276009",1,2011
"http://orkg.org/orkg/resource/R276024",1,2011
"http://orkg.org/orkg/resource/R276045",1,2011
"http://orkg.org/orkg/resource/R279079",2,2010
"http://orkg.org/orkg/resource/R280329",1,2010
