"paper","year","dc_label"
"http://orkg.org/orkg/resource/R583153","2005","case study"
"http://orkg.org/orkg/resource/R583153","2005","study"
"http://orkg.org/orkg/resource/R583153","2005","case study"
"http://orkg.org/orkg/resource/R583153","2005","study"
"http://orkg.org/orkg/resource/R583153","2005","study"
"http://orkg.org/orkg/resource/R211361","2014","experiment"
"http://orkg.org/orkg/resource/R211361","2014","experiment"
"http://orkg.org/orkg/resource/R211380","2014","study"
"http://orkg.org/orkg/resource/R288808","2007","case study"
"http://orkg.org/orkg/resource/R369142","2007","case study"
"http://orkg.org/orkg/resource/R369238","2007","experiment"
"http://orkg.org/orkg/resource/R369339","2007","interview"
"http://orkg.org/orkg/resource/R369339","2007","study"
"http://orkg.org/orkg/resource/R369483","2007","interview"
"http://orkg.org/orkg/resource/R369602","2007","case study"
"http://orkg.org/orkg/resource/R369685","2007","case study"
"http://orkg.org/orkg/resource/R220538","2013","study"
"http://orkg.org/orkg/resource/R220633","2013","interview"
"http://orkg.org/orkg/resource/R220881","2012","study"
"http://orkg.org/orkg/resource/R220881","2012","case study"
"http://orkg.org/orkg/resource/R192345","2021","experiment"
"http://orkg.org/orkg/resource/R192386","2021","secondary research"
"http://orkg.org/orkg/resource/R192398","2021","secondary research"
"http://orkg.org/orkg/resource/R192428","2021","experiment"
"http://orkg.org/orkg/resource/R192445","2021","experiment"
"http://orkg.org/orkg/resource/R193025","2021","experiment"
"http://orkg.org/orkg/resource/R193035","2021","secondary research"
"http://orkg.org/orkg/resource/R193044","2021","experiment"
"http://orkg.org/orkg/resource/R193070","2021","interview"
"http://orkg.org/orkg/resource/R193089","2021","interview"
"http://orkg.org/orkg/resource/R193089","2021","survey"
"http://orkg.org/orkg/resource/R193108","2021","interview"
"http://orkg.org/orkg/resource/R193295","2021","survey"
"http://orkg.org/orkg/resource/R193308","2021","experiment"
"http://orkg.org/orkg/resource/R193308","2021","experiment"
"http://orkg.org/orkg/resource/R193330","2021","secondary research"
"http://orkg.org/orkg/resource/R193341","2021","study"
"http://orkg.org/orkg/resource/R193357","2021","secondary research"
"http://orkg.org/orkg/resource/R193371","2020","case study"
"http://orkg.org/orkg/resource/R193385","2020","interview"
"http://orkg.org/orkg/resource/R193406","2020","interview"
"http://orkg.org/orkg/resource/R193418","2020","survey"
"http://orkg.org/orkg/resource/R193441","2020","case study"
"http://orkg.org/orkg/resource/R193473","2020","study"
"http://orkg.org/orkg/resource/R193481","2020","secondary research"
"http://orkg.org/orkg/resource/R193490","2020","study"
"http://orkg.org/orkg/resource/R193022","2021","secondary research"
"http://orkg.org/orkg/resource/R193818","2021","case study"
"http://orkg.org/orkg/resource/R193828","2021","secondary research"
"http://orkg.org/orkg/resource/R193849","2021","case study"
"http://orkg.org/orkg/resource/R193866","2021","secondary research"
"http://orkg.org/orkg/resource/R193898","2020","experiment"
"http://orkg.org/orkg/resource/R193467","2020","secondary research"
"http://orkg.org/orkg/resource/R193929","2020","study"
"http://orkg.org/orkg/resource/R194054","2020","study"
"http://orkg.org/orkg/resource/R194084","2020","case study"
"http://orkg.org/orkg/resource/R194114","2020","interview"
"http://orkg.org/orkg/resource/R194139","2020","survey"
"http://orkg.org/orkg/resource/R194237","2019","survey"
"http://orkg.org/orkg/resource/R194253","2019","secondary research"
"http://orkg.org/orkg/resource/R194281","2019","experiment"
"http://orkg.org/orkg/resource/R194317","2019","experiment"
"http://orkg.org/orkg/resource/R194345","2019","study"
"http://orkg.org/orkg/resource/R194360","2019","experiment"
"http://orkg.org/orkg/resource/R194373","2019","experiment"
"http://orkg.org/orkg/resource/R194401","2019","experiment"
"http://orkg.org/orkg/resource/R194414","2019","experiment"
"http://orkg.org/orkg/resource/R194431","2019","survey"
"http://orkg.org/orkg/resource/R194445","2019","experiment"
"http://orkg.org/orkg/resource/R194458","2019","experiment"
"http://orkg.org/orkg/resource/R194474","2019","interview"
"http://orkg.org/orkg/resource/R193798","2021","experiment"
"http://orkg.org/orkg/resource/R194610","2019","experiment"
"http://orkg.org/orkg/resource/R193925","2020","experiment"
"http://orkg.org/orkg/resource/R194641","2020","secondary research"
"http://orkg.org/orkg/resource/R194686","2018","interview"
"http://orkg.org/orkg/resource/R194698","2018","interview"
"http://orkg.org/orkg/resource/R194125","2020","interview"
"http://orkg.org/orkg/resource/R194607","2019","secondary research"
"http://orkg.org/orkg/resource/R194895","2019","case study"
"http://orkg.org/orkg/resource/R194922","2018","case study"
"http://orkg.org/orkg/resource/R194932","2018","experiment"
"http://orkg.org/orkg/resource/R194954","2018","interview"
"http://orkg.org/orkg/resource/R194954","2018","survey"
"http://orkg.org/orkg/resource/R195005","2018","secondary research"
"http://orkg.org/orkg/resource/R195023","2018","secondary research"
"http://orkg.org/orkg/resource/R195113","2018","case study"
"http://orkg.org/orkg/resource/R76818","2018","experiment"
"http://orkg.org/orkg/resource/R195144","2018","interview"
"http://orkg.org/orkg/resource/R195153","2018","survey"
"http://orkg.org/orkg/resource/R195153","2018","interview"
"http://orkg.org/orkg/resource/R195153","2018","study"
"http://orkg.org/orkg/resource/R195153","2018","study"
"http://orkg.org/orkg/resource/R195182","2018","experiment"
"http://orkg.org/orkg/resource/R195201","2018","survey"
"http://orkg.org/orkg/resource/R195224","2018","interview"
"http://orkg.org/orkg/resource/R76792","2017","secondary research"
"http://orkg.org/orkg/resource/R108199","2017","secondary research"
"http://orkg.org/orkg/resource/R113008","2017","study"
"http://orkg.org/orkg/resource/R195519","2017","interview"
"http://orkg.org/orkg/resource/R113067","2017","secondary research"
"http://orkg.org/orkg/resource/R195551","2017","interview"
"http://orkg.org/orkg/resource/R195551","2017","survey"
"http://orkg.org/orkg/resource/R195578","2017","interview"
"http://orkg.org/orkg/resource/R195587","2017","survey"
"http://orkg.org/orkg/resource/R195597","2017","secondary research"
"http://orkg.org/orkg/resource/R195692","2017","experiment"
"http://orkg.org/orkg/resource/R195713","2017","experiment"
"http://orkg.org/orkg/resource/R195728","2017","secondary research"
"http://orkg.org/orkg/resource/R195728","2017","survey"
"http://orkg.org/orkg/resource/R195749","2017","case study"
"http://orkg.org/orkg/resource/R195789","2017","experiment"
"http://orkg.org/orkg/resource/R195806","2017","interview"
"http://orkg.org/orkg/resource/R195857","2017","survey"
"http://orkg.org/orkg/resource/R195866","2017","survey"
"http://orkg.org/orkg/resource/R195679","2017","survey"
"http://orkg.org/orkg/resource/R195849","2017","study"
"http://orkg.org/orkg/resource/R195986","2017","experiment"
"http://orkg.org/orkg/resource/R195998","2017","case study"
"http://orkg.org/orkg/resource/R196009","2017","case study"
"http://orkg.org/orkg/resource/R196021","2017","survey"
"http://orkg.org/orkg/resource/R196021","2017","experiment"
"http://orkg.org/orkg/resource/R196033","2017","experiment"
"http://orkg.org/orkg/resource/R196046","2017","case study"
"http://orkg.org/orkg/resource/R196046","2017","survey"
"http://orkg.org/orkg/resource/R196070","2017","interview"
"http://orkg.org/orkg/resource/R195124","2018","survey"
"http://orkg.org/orkg/resource/R195129","2018","survey"
"http://orkg.org/orkg/resource/R112434","2017","secondary research"
"http://orkg.org/orkg/resource/R194974","2018","case study"
"http://orkg.org/orkg/resource/R193920","2020","secondary research"
"http://orkg.org/orkg/resource/R197609","2017","interview"
"http://orkg.org/orkg/resource/R197609","2017","study"
"http://orkg.org/orkg/resource/R198663","2016","secondary research"
"http://orkg.org/orkg/resource/R198673","2016","experiment"
"http://orkg.org/orkg/resource/R198689","2016","study"
"http://orkg.org/orkg/resource/R198689","2016","interview"
"http://orkg.org/orkg/resource/R198689","2016","survey"
"http://orkg.org/orkg/resource/R198706","2016","case study"
"http://orkg.org/orkg/resource/R198724","2016","interview"
"http://orkg.org/orkg/resource/R198797","2016","interview"
"http://orkg.org/orkg/resource/R111988","2016","secondary research"
"http://orkg.org/orkg/resource/R111988","2016","experiment"
"http://orkg.org/orkg/resource/R198833","2016","secondary research"
"http://orkg.org/orkg/resource/R198856","2016","interview"
"http://orkg.org/orkg/resource/R198877","2016","interview"
"http://orkg.org/orkg/resource/R74547","2016","experiment"
"http://orkg.org/orkg/resource/R198917","2016","experiment"
"http://orkg.org/orkg/resource/R78432","2016","experiment"
"http://orkg.org/orkg/resource/R198944","2016","survey"
"http://orkg.org/orkg/resource/R198964","2016","case study"
"http://orkg.org/orkg/resource/R198972","2016","case study"
"http://orkg.org/orkg/resource/R198979","2016","experiment"
"http://orkg.org/orkg/resource/R198994","2016","interview"
"http://orkg.org/orkg/resource/R199014","2015","secondary research"
"http://orkg.org/orkg/resource/R199028","2015","experiment"
"http://orkg.org/orkg/resource/R199039","2015","case study"
"http://orkg.org/orkg/resource/R199113","2015","experiment"
"http://orkg.org/orkg/resource/R199123","2015","study"
"http://orkg.org/orkg/resource/R199149","2015","interview"
"http://orkg.org/orkg/resource/R78392","2015","experiment"
"http://orkg.org/orkg/resource/R200049","2015","survey"
"http://orkg.org/orkg/resource/R200098","2015","case study"
"http://orkg.org/orkg/resource/R200106","2015","survey"
"http://orkg.org/orkg/resource/R200119","2015","experiment"
"http://orkg.org/orkg/resource/R194428","2019","secondary research"
"http://orkg.org/orkg/resource/R113160","2018","secondary research"
"http://orkg.org/orkg/resource/R113204","2018","experiment"
"http://orkg.org/orkg/resource/R195179","2018","study"
"http://orkg.org/orkg/resource/R195495","2017","secondary research"
"http://orkg.org/orkg/resource/R196014","2017","study"
"http://orkg.org/orkg/resource/R198681","2016","survey"
"http://orkg.org/orkg/resource/R198795","2016","study"
"http://orkg.org/orkg/resource/R198808","2016","experiment"
"http://orkg.org/orkg/resource/R199023","2015","interview"
"http://orkg.org/orkg/resource/R199136","2015","secondary research"
"http://orkg.org/orkg/resource/R199158","2015","study"
"http://orkg.org/orkg/resource/R199158","2015","study"
"http://orkg.org/orkg/resource/R199162","2015","study"
"http://orkg.org/orkg/resource/R200045","2015","case study"
"http://orkg.org/orkg/resource/R200061","2015","case study"
"http://orkg.org/orkg/resource/R200042","2015","case study"
"http://orkg.org/orkg/resource/R195201","2018","experiment"
"http://orkg.org/orkg/resource/R195201","2018","study"
"http://orkg.org/orkg/resource/R195224","2018","case study"
"http://orkg.org/orkg/resource/R195224","2018","interview"
"http://orkg.org/orkg/resource/R195551","2017","case study"
"http://orkg.org/orkg/resource/R195551","2017","study"
"http://orkg.org/orkg/resource/R195578","2017","study"
"http://orkg.org/orkg/resource/R195578","2017","study"
"http://orkg.org/orkg/resource/R195587","2017","secondary research"
"http://orkg.org/orkg/resource/R195587","2017","study"
"http://orkg.org/orkg/resource/R195669","2017","case study"
"http://orkg.org/orkg/resource/R195679","2017","study"
"http://orkg.org/orkg/resource/R195679","2017","experiment"
"http://orkg.org/orkg/resource/R195749","2017","interview"
"http://orkg.org/orkg/resource/R195789","2017","survey"
"http://orkg.org/orkg/resource/R195806","2017","study"
"http://orkg.org/orkg/resource/R195849","2017","experiment"
"http://orkg.org/orkg/resource/R195849","2017","survey"
"http://orkg.org/orkg/resource/R195857","2017","case study"
"http://orkg.org/orkg/resource/R195866","2017","case study"
"http://orkg.org/orkg/resource/R195998","2017","experiment"
"http://orkg.org/orkg/resource/R196009","2017","action research"
"http://orkg.org/orkg/resource/R196021","2017","study"
"http://orkg.org/orkg/resource/R196033","2017","survey"
"http://orkg.org/orkg/resource/R196065","2017","study"
"http://orkg.org/orkg/resource/R196070","2017","study"
"http://orkg.org/orkg/resource/R196070","2017","secondary research"
"http://orkg.org/orkg/resource/R196070","2017","study"
"http://orkg.org/orkg/resource/R196070","2017","study"
"http://orkg.org/orkg/resource/R196070","2017","study"
"http://orkg.org/orkg/resource/R196070","2017","study"
"http://orkg.org/orkg/resource/R197609","2017","case study"
"http://orkg.org/orkg/resource/R197609","2017","study"
"http://orkg.org/orkg/resource/R197609","2017","study"
"http://orkg.org/orkg/resource/R108199","2017","experiment"
"http://orkg.org/orkg/resource/R113008","2017","survey"
"http://orkg.org/orkg/resource/R287873","2008","experiment"
"http://orkg.org/orkg/resource/R288432","2008","experiment"
"http://orkg.org/orkg/resource/R288443","2008","case study"
"http://orkg.org/orkg/resource/R288453","2008","experiment"
"http://orkg.org/orkg/resource/R288460","2007","secondary research"
"http://orkg.org/orkg/resource/R288476","2007","study"
"http://orkg.org/orkg/resource/R288485","2007","study"
"http://orkg.org/orkg/resource/R288494","2007","case study"
"http://orkg.org/orkg/resource/R288507","2007","study"
"http://orkg.org/orkg/resource/R78432","2016","secondary research"
"http://orkg.org/orkg/resource/R198681","2016","secondary research"
"http://orkg.org/orkg/resource/R198681","2016","survey"
"http://orkg.org/orkg/resource/R198689","2016","study"
"http://orkg.org/orkg/resource/R198877","2016","case study"
"http://orkg.org/orkg/resource/R198877","2016","study"
"http://orkg.org/orkg/resource/R198917","2016","study"
"http://orkg.org/orkg/resource/R198944","2016","study"
"http://orkg.org/orkg/resource/R198964","2016","survey"
"http://orkg.org/orkg/resource/R198964","2016","interview"
"http://orkg.org/orkg/resource/R198972","2016","interview"
"http://orkg.org/orkg/resource/R198994","2016","case study"
"http://orkg.org/orkg/resource/R199005","2015","case study"
"http://orkg.org/orkg/resource/R199005","2015","case study"
"http://orkg.org/orkg/resource/R199149","2015","study"
"http://orkg.org/orkg/resource/R200042","2015","study"
"http://orkg.org/orkg/resource/R200049","2015","study"
"http://orkg.org/orkg/resource/R288513","2007","study"
"http://orkg.org/orkg/resource/R200061","2015","survey"
"http://orkg.org/orkg/resource/R288742","2007","survey"
"http://orkg.org/orkg/resource/R288742","2007","interview"
"http://orkg.org/orkg/resource/R288742","2007","secondary research"
"http://orkg.org/orkg/resource/R288742","2007","case study"
"http://orkg.org/orkg/resource/R288766","2007","case study"
"http://orkg.org/orkg/resource/R211394","2014","study"
"http://orkg.org/orkg/resource/R221801","2012","study"
"http://orkg.org/orkg/resource/R221801","2012","study"
"http://orkg.org/orkg/resource/R221821","2012","study"
"http://orkg.org/orkg/resource/R221821","2012","study"
"http://orkg.org/orkg/resource/R221821","2012","survey"
"http://orkg.org/orkg/resource/R280335","2010","case study"
"http://orkg.org/orkg/resource/R280347","2010","case study"
"http://orkg.org/orkg/resource/R280375","2010","interview"
"http://orkg.org/orkg/resource/R280481","2010","action research"
"http://orkg.org/orkg/resource/R280511","2010","survey"
"http://orkg.org/orkg/resource/R280754","2009","secondary research"
"http://orkg.org/orkg/resource/R280765","2009","survey"
"http://orkg.org/orkg/resource/R280765","2009","survey"
"http://orkg.org/orkg/resource/R281172","2009","interview"
"http://orkg.org/orkg/resource/R281194","2009","survey"
"http://orkg.org/orkg/resource/R281210","2009","secondary research"
"http://orkg.org/orkg/resource/R283080","2009","survey"
"http://orkg.org/orkg/resource/R576802","2006","secondary research"
"http://orkg.org/orkg/resource/R578020","2006","secondary research"
"http://orkg.org/orkg/resource/R578027","2006","case study"
"http://orkg.org/orkg/resource/R578035","2006","case study"
"http://orkg.org/orkg/resource/R287825","2008","survey"
"http://orkg.org/orkg/resource/R578050","2005","study"
"http://orkg.org/orkg/resource/R287863","2008","study"
"http://orkg.org/orkg/resource/R287863","2008","survey"
"http://orkg.org/orkg/resource/R285771","2008","study"
"http://orkg.org/orkg/resource/R285781","2008","study"
"http://orkg.org/orkg/resource/R285790","2008","interview"
"http://orkg.org/orkg/resource/R285790","2008","secondary research"
"http://orkg.org/orkg/resource/R288485","2007","action research"
"http://orkg.org/orkg/resource/R288494","2007","interview"
"http://orkg.org/orkg/resource/R369339","2007","action research"
"http://orkg.org/orkg/resource/R369339","2007","secondary research"
"http://orkg.org/orkg/resource/R369685","2007","interview"
"http://orkg.org/orkg/resource/R369685","2007","survey"
"http://orkg.org/orkg/resource/R554452","2007","case study"
"http://orkg.org/orkg/resource/R558201","2006","experiment"
"http://orkg.org/orkg/resource/R557163","2006","study"
"http://orkg.org/orkg/resource/R557163","2006","study"
"http://orkg.org/orkg/resource/R556637","2006","study"
"http://orkg.org/orkg/resource/R578059","2005","case study"
"http://orkg.org/orkg/resource/R580049","2005","case study"
"http://orkg.org/orkg/resource/R580060","2005","case study"
"http://orkg.org/orkg/resource/R580068","2005","secondary research"
"http://orkg.org/orkg/resource/R580077","2005","survey"
"http://orkg.org/orkg/resource/R580077","2005","interview"
"http://orkg.org/orkg/resource/R580091","2005","study"
"http://orkg.org/orkg/resource/R580100","2005","case study"
"http://orkg.org/orkg/resource/R580108","2005","study"
"http://orkg.org/orkg/resource/R580119","2005","study"
"http://orkg.org/orkg/resource/R580127","2005","study"
"http://orkg.org/orkg/resource/R580133","2005","experiment"
"http://orkg.org/orkg/resource/R580141","2005","study"
"http://orkg.org/orkg/resource/R580149","2005","case study"
"http://orkg.org/orkg/resource/R583153","2005","study"
"http://orkg.org/orkg/resource/R587093","2003","study"
"http://orkg.org/orkg/resource/R586519","2003","interview"
"http://orkg.org/orkg/resource/R78392","2015","secondary research"
"http://orkg.org/orkg/resource/R194954","2018","experiment"
"http://orkg.org/orkg/resource/R211096","2014","interview"
"http://orkg.org/orkg/resource/R211106","2014","interview"
"http://orkg.org/orkg/resource/R211106","2014","study"
"http://orkg.org/orkg/resource/R211121","2014","interview"
"http://orkg.org/orkg/resource/R211121","2014","survey"
"http://orkg.org/orkg/resource/R211121","2014","interview"
"http://orkg.org/orkg/resource/R211145","2014","case study"
"http://orkg.org/orkg/resource/R211154","2014","study"
"http://orkg.org/orkg/resource/R211188","2014","case study"
"http://orkg.org/orkg/resource/R211198","2014","case study"
"http://orkg.org/orkg/resource/R211283","2014","case study"
"http://orkg.org/orkg/resource/R211294","2014","experiment"
"http://orkg.org/orkg/resource/R211302","2014","experiment"
"http://orkg.org/orkg/resource/R211302","2014","survey"
"http://orkg.org/orkg/resource/R211327","2014","study"
"http://orkg.org/orkg/resource/R211336","2014","experiment"
"http://orkg.org/orkg/resource/R211351","2014","secondary research"
"http://orkg.org/orkg/resource/R211361","2014","experiment"
"http://orkg.org/orkg/resource/R211370","2014","study"
"http://orkg.org/orkg/resource/R211370","2014","interview"
"http://orkg.org/orkg/resource/R211380","2014","study"
"http://orkg.org/orkg/resource/R211394","2014","interview"
"http://orkg.org/orkg/resource/R211404","2014","case study"
"http://orkg.org/orkg/resource/R211411","2014","study"
"http://orkg.org/orkg/resource/R211411","2014","interview"
"http://orkg.org/orkg/resource/R211428","2014","secondary research"
"http://orkg.org/orkg/resource/R211438","2014","experiment"
"http://orkg.org/orkg/resource/R211438","2014","experiment"
"http://orkg.org/orkg/resource/R211438","2014","experiment"
"http://orkg.org/orkg/resource/R211452","2014","study"
"http://orkg.org/orkg/resource/R211459","2014","experiment"
"http://orkg.org/orkg/resource/R211467","2014","experiment"
"http://orkg.org/orkg/resource/R211474","2014","survey"
"http://orkg.org/orkg/resource/R211485","2014","interview"
"http://orkg.org/orkg/resource/R211485","2014","study"
"http://orkg.org/orkg/resource/R211494","2014","case study"
"http://orkg.org/orkg/resource/R211502","2014","survey"
"http://orkg.org/orkg/resource/R195153","2018","study"
"http://orkg.org/orkg/resource/R220303","2013","secondary research"
"http://orkg.org/orkg/resource/R220314","2013","case study"
"http://orkg.org/orkg/resource/R220323","2013","survey"
"http://orkg.org/orkg/resource/R220343","2013","experiment"
"http://orkg.org/orkg/resource/R220354","2013","experiment"
"http://orkg.org/orkg/resource/R220364","2013","experiment"
"http://orkg.org/orkg/resource/R220371","2013","case study"
"http://orkg.org/orkg/resource/R220378","2013","case study"
"http://orkg.org/orkg/resource/R220383","2013","case study"
"http://orkg.org/orkg/resource/R220390","2013","interview"
"http://orkg.org/orkg/resource/R220538","2013","experiment"
"http://orkg.org/orkg/resource/R220538","2013","experiment"
"http://orkg.org/orkg/resource/R220538","2013","experiment"
"http://orkg.org/orkg/resource/R220538","2013","experiment"
"http://orkg.org/orkg/resource/R220583","2013","secondary research"
"http://orkg.org/orkg/resource/R220605","2013","case study"
"http://orkg.org/orkg/resource/R220611","2013","case study"
"http://orkg.org/orkg/resource/R220618","2013","experiment"
"http://orkg.org/orkg/resource/R220624","2013","study"
"http://orkg.org/orkg/resource/R220629","2013","experiment"
"http://orkg.org/orkg/resource/R220633","2013","secondary research"
"http://orkg.org/orkg/resource/R220633","2013","experiment"
"http://orkg.org/orkg/resource/R220643","2013","interview"
"http://orkg.org/orkg/resource/R220798","2013","interview"
"http://orkg.org/orkg/resource/R220798","2013","study"
"http://orkg.org/orkg/resource/R220810","2013","secondary research"
"http://orkg.org/orkg/resource/R220831","2012","experiment"
"http://orkg.org/orkg/resource/R220838","2012","case study"
"http://orkg.org/orkg/resource/R220845","2012","experiment"
